iter	Passed	Remaining
401	19841	4837
402	19896	4789
403	19953	4741
404	19996	4690
405	20043	4640
406	20089	4590
407	20137	4540
408	20205	4495
409	20260	4447
410	20315	4399
411	20353	4347
412	20417	4301
413	20470	4252
414	20520	4203
415	20571	4153
416	20623	4104
417	20677	4056
418	20733	4008
419	20794	3960
420	20844	3911
421	20890	3861
422	20939	3811
423	20990	3762
424	21041	3713
425	21093	3664
426	21145	3615
427	21196	3565
428	21241	3515
429	21294	3466
430	21345	3417
431	21392	3367
432	21447	3318
433	21518	3272
434	21570	3223
435	21618	3173
436	21668	3123
437	21725	3075
438	21783	3026
439	21830	2976
440	21885	2927
441	21932	2877
442	21987	2829
443	22035	2779
444	22083	2729
445	22130	2679
446	22177	2629
447	22220	2579
448	22269	2529
449	22316	2479
450	22366	2430
451	22421	2381
452	22478	2332
453	22567	2286
454	22616	2236
455	22666	2187
456	22727	2138
457	22778	2088
458	22834	2039
459	22903	1991
460	22979	1944
461	23036	1894
462	23081	1844
463	23123	1794
464	23169	1743
465	23220	1694
466	23258	1643
467	23302	1593
468	23347	1543
469	23394	1493
470	23448	1443
471	23493	1393
472	23538	1343
473	23590	1293
474	23726	1248
475	23798	1199
476	23875	1151
477	23951	1102
478	24028	1053
479	24083	1003
480	24154	954
481	24202	903
482	24247	853
483	24295	803
484	24339	752
485	24386	702
486	24439	652
487	24481	602
488	24526	551
489	24568	501
490	24612	451
491	24662	401
492	24711	350
493	24766	300
494	24822	250
495	24868	200
496	24914	150
497	24961	100
498	25004	50
499	25053	0
